CustomerID,Gender,SeniorCitizen,Age,Tenure,MonthlyCharges,TotalCharges,InternetService,Contract,PaymentMethod,TechSupport,OnlineSecurity,StreamingTV,StreamingMovies,PhoneService,MultipleLines,Dependents,Complaints,SatisfactionScore,SupportTickets,UsageHours,DataConsumption,Churn
CUST-10001,Male,0,36,63,55.72,3537.36,DSL,Two year,Bank transfer (automatic),No,Yes,No,No,Yes,No,Yes,0,4,0,110.7,106.5,No
CUST-10002,Female,0,45,71,67.29,4759.59,DSL,Month-to-month,Credit card (automatic),Yes,No,No,Yes,Yes,No,No,0,5,0,84.5,177.8,No
CUST-10003,Male,0,34,28,29.42,797.97,No,Month-to-month,Credit card (automatic),No internet service,No internet service,No internet service,No internet service,Yes,Yes,Yes,1,1,1,91.9,114.4,Yes
CUST-10004,Male,0,59,46,102.88,4728.97,Fiber optic,One year,Mailed check,No,No,Yes,Yes,Yes,Yes,Yes,0,3,4,199.5,352.6,Yes
CUST-10005,Male,1,66,28,79.73,2212.28,Fiber optic,Two year,Electronic check,No,No,No,Yes,Yes,No,No,0,4,2,24.3,39.8,No
CUST-10006,Female,0,48,2,91.91,162.5,Fiber optic,Month-to-month,Credit card (automatic),No,No,No,Yes,Yes,Yes,No,0,3,5,66.6,151.6,Yes
CUST-10007,Male,0,28,17,25.73,432.02,No,Two year,Mailed check,No internet service,No internet service,No internet service,No internet service,Yes,Yes,Yes,1,2,2,103.4,217.3,Yes
CUST-10008,Male,1,68,59,83.53,4938.45,Fiber optic,One year,Bank transfer (automatic),No,No,No,Yes,Yes,No,No,0,3,3,127.5,252.6,No
CUST-10009,Male,0,27,52,88.0,4560.57,Fiber optic,Month-to-month,Credit card (automatic),No,No,No,Yes,Yes,Yes,No,0,5,1,134.1,312.9,Yes
CUST-10010,Female,0,60,4,52.82,233.84,DSL,Month-to-month,Bank transfer (automatic),No,No,Yes,No,Yes,No,No,0,3,2,30.4,54.6,Yes
CUST-10011,Male,0,40,3,71.27,205.56,DSL,Month-to-month,Mailed check,Yes,No,Yes,No,Yes,Yes,No,0,3,2,100.7,219.7,Yes
CUST-10012,Male,0,20,37,31.34,1185.62,No,One year,Bank transfer (automatic),No internet service,No internet service,No internet service,No internet service,Yes,Yes,Yes,0,4,3,45.7,102.9,No
CUST-10013,Male,0,20,24,18.25,437.54,No,Month-to-month,Electronic check,No internet service,No internet service,No internet service,No internet service,Yes,No,No,1,2,0,71.4,154.6,No
CUST-10014,Male,0,35,72,65.31,4715.92,DSL,Month-to-month,Mailed check,No,Yes,Yes,No,Yes,No,No,0,4,0,131.3,189.3,No
CUST-10015,Female,0,42,35,18.25,659.69,No,One year,Electronic check,No internet service,No internet service,No internet service,No internet service,Yes,No,No,0,3,0,78.3,169.9,No
CUST-10016,Male,1,71,2,48.58,98.94,DSL,Month-to-month,Electronic check,No,No,No,No,Yes,Yes,No,1,2,2,179.6,303.6,Yes
CUST-10017,Female,0,37,33,93.0,3090.02,Fiber optic,Two year,Bank transfer (automatic),No,Yes,No,Yes,Yes,No,No,1,3,0,74.6,103.1,No
CUST-10018,Female,0,46,10,22.99,222.58,No,Two year,Bank transfer (automatic),No internet service,No internet service,No internet service,No internet service,Yes,No,No,0,3,3,87.9,100.8,No
CUST-10019,Female,0,39,62,81.92,5070.84,DSL,Month-to-month,Bank transfer (automatic),No,No,Yes,Yes,Yes,Yes,No,1,2,2,92.3,182.5,Yes
CUST-10020,Male,0,32,43,74.36,3215.12,Fiber optic,Two year,Credit card (automatic),No,No,No,No,No,No phone service,No,0,4,3,63.9,84.2,No
CUST-10021,Female,0,56,69,74.49,5124.29,DSL,Month-to-month,Electronic check,No,Yes,Yes,Yes,Yes,No,No,1,1,2,63.5,79.3,Yes
CUST-10022,Male,0,27,59,89.58,5298.24,Fiber optic,Month-to-month,Bank transfer (automatic),Yes,No,Yes,No,No,No phone service,No,1,2,1,48.1,86.9,Yes
